model_variant,score,stride,offset,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
corrected_asset_conditioned,family_prior_residual,60,42,340,31,0.09117647058823529,0.23414634146341465,0.6443783275916066,0.5208790061593068,0.09994027281793887,,,0.5117647058823529
corrected_asset_conditioned,family_prior_residual,60,43,340,39,0.11470588235294117,0.27450980392156865,0.6313996081437943,0.5191242865661471,0.11987536825405765,,,0.4852941176470588
corrected_asset_conditioned,family_prior_residual,60,44,340,37,0.10882352941176471,0.208955223880597,0.5478101864240478,0.45326019088395325,0.09844048308632686,,,0.4823529411764706
corrected_asset_conditioned,family_prior_residual,60,45,340,28,0.08235294117647059,0.15544041450777202,0.5274725274725275,0.3924565018315018,0.07094673755176865,,,0.4852941176470588
corrected_asset_conditioned,family_prior_residual,60,46,340,30,0.08823529411764706,0.14563106796116504,0.4903225806451613,0.3589784946236559,0.06891322121208773,,,0.5176470588235295
corrected_asset_conditioned,family_prior_residual,60,47,340,33,0.09705882352941177,0.19047619047619047,0.5473299772974041,0.453262264337183,0.09244824610532415,,,0.5205882352941177
corrected_asset_conditioned,family_prior_residual,60,48,340,34,0.1,0.21052631578947367,0.5735294117647058,0.45261437908496727,0.0940346742870699,,,0.5147058823529411
corrected_asset_conditioned,family_prior_residual,60,49,340,33,0.09705882352941177,0.17258883248730963,0.5181620767939986,0.40395814825782256,0.08312370259441132,,,0.4823529411764706
corrected_asset_conditioned,family_prior_residual,60,50,340,24,0.07058823529411765,0.16759776536312848,0.5909810126582278,0.4426424050632911,0.06891832779892175,,,0.45588235294117646
corrected_asset_conditioned,family_prior_residual,60,51,340,24,0.07058823529411765,0.1724137931034483,0.5988924050632911,0.4380933544303797,0.06732665256920857,,,0.4411764705882353
corrected_asset_conditioned,family_prior_residual,60,52,340,23,0.06764705882352941,0.15730337078651685,0.5819503497462626,0.47078590042518176,0.06579231247465636,,,0.45588235294117646
corrected_asset_conditioned,family_prior_residual,60,53,340,24,0.07058823529411765,0.1711229946524064,0.6007383966244726,0.47712289029535865,0.06927236422221299,,,0.47941176470588237
