split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
validation,asset_ticker,EWC,1,297,7,0.02356902356902357,4,4,1.75,-0.0563807489810908,-0.06002491293511325,1.5400467726311766,0.2857142857142857
validation,asset_ticker,EWJ,1,297,16,0.05387205387205387,3,3,5.333333333333333,-0.052764232822965274,-0.07232615588328245,2.2774666702738333,0.125
validation,asset_ticker,EWU,1,297,1,0.003367003367003367,1,1,1.0,-0.009011515118764413,-0.029005861297627167,2.007646127107939,1.0
validation,asset_ticker,EWZ,1,297,45,0.15151515151515152,14,9,3.2142857142857144,-0.061357631861656325,-0.07069223079917708,1.4666613164258198,0.0
validation,asset_ticker,FXA,1,297,8,0.026936026936026935,2,2,4.0,-0.007005059678570791,-0.01053598330769534,2.082199957895855,1.0
validation,asset_ticker,FXB,1,297,5,0.016835016835016835,3,2,1.6666666666666667,-0.01718385377299425,-0.01718385377299425,2.0826216120859504,1.0
validation,asset_ticker,FXC,1,297,5,0.016835016835016835,1,1,5.0,-0.007393639181752065,-0.00899255219415973,2.0775816782826633,1.0
validation,asset_ticker,FXE,1,297,10,0.03367003367003367,1,1,10.0,-0.021329788807357364,-0.022102553894412624,2.8429944605980655,1.0
validation,asset_ticker,FXI,1,297,42,0.1414141414141414,14,9,3.0,-0.05640286071274864,-0.07268399310090301,1.0856342648644435,0.2619047619047619
validation,asset_ticker,FXY,1,297,15,0.050505050505050504,3,3,5.0,0.009681219037421585,-0.014451299275925478,3.1786098054252494,1.0
validation,asset_ticker,GLD,1,297,7,0.02356902356902357,1,1,7.0,-0.06263420483230941,-0.06423290501740342,2.1217863671712784,0.42857142857142855
validation,asset_ticker,HYG,1,297,8,0.026936026936026935,1,1,8.0,-0.008245413027203552,-0.015373140765762405,2.3419808439458674,1.0
validation,asset_ticker,IEF,1,297,2,0.006734006734006734,2,1,1.0,0.015559936897925564,0.004085940245526554,2.0971146480312655,1.0
